Epoch 780 Train: Loss=1.8e+04, RMSE=0.36, test loss=-3.4e+02, J=50.41, R=152.14, bufsize=10000
Epoch 795 Train: Loss=1.5e+04, RMSE=0.34, test loss=-5.6e+02, J=50.42, R=152.25, bufsize=10000
Epoch 810 Train: Loss=1.2e+04, RMSE=0.33, test loss=-7.3e+02, J=50.41, R=152.10, bufsize=10000
Epoch 825 Train: Loss=7.5e+03, RMSE=0.30, test loss=-9.1e+02, J=50.42, R=152.15, bufsize=10000
Epoch 840 Train: Loss=5.1e+03, RMSE=0.28, test loss=-1.1e+03, J=50.45, R=152.18, bufsize=10000
Epoch 855 Train: Loss=1.7e+03, RMSE=0.25, test loss=-1.2e+03, J=50.41, R=152.08, bufsize=10000
Epoch 870 Train: Loss=-2.8e+02, RMSE=0.24, test loss=-1.3e+03, J=50.45, R=152.28, bufsize=10000
Epoch 885 Train: Loss=-3.6e+03, RMSE=0.21, test loss=-1.4e+03, J=50.47, R=152.31, bufsize=10000
Epoch 900 Train: Loss=-4.8e+03, RMSE=0.19, test loss=-1.5e+03, J=50.47, R=152.28, bufsize=10000
Epoch 915 Train: Loss=-5.9e+03, RMSE=0.18, test loss=-1.6e+03, J=50.48, R=152.28, bufsize=10000
Epoch 930 Train: Loss=-6.3e+03, RMSE=0.18, test loss=-1.7e+03, J=50.44, R=152.19, bufsize=10000
Epoch 945 Train: Loss=-6.8e+03, RMSE=0.17, test loss=-1.7e+03, J=50.39, R=152.03, bufsize=10000
Epoch 960 Train: Loss=-7.1e+03, RMSE=0.17, test loss=-1.8e+03, J=50.46, R=152.24, bufsize=10000
Epoch 975 Train: Loss=-8.6e+03, RMSE=0.15, test loss=-1.9e+03, J=50.40, R=152.06, bufsize=10000
Epoch 990 Train: Loss=-9e+03, RMSE=0.15, test loss=-1.9e+03, J=50.39, R=152.04, bufsize=10000
Epoch 1005 Train: Loss=-9.3e+03, RMSE=0.14, test loss=-2e+03, J=50.44, R=152.15, bufsize=10000
Epoch 1020 Train: Loss=-9.9e+03, RMSE=0.14, test loss=-2e+03, J=50.47, R=152.29, bufsize=10000
Epoch 1035 Train: Loss=-1.1e+04, RMSE=0.12, test loss=-2.1e+03, J=50.43, R=152.17, bufsize=10000
Epoch 1050 Train: Loss=-1.1e+04, RMSE=0.12, test loss=-2.1e+03, J=50.46, R=152.25, bufsize=10000
Epoch 1065 Train: Loss=-1.1e+04, RMSE=0.12, test loss=-2.1e+03, J=50.47, R=152.28, bufsize=10000
Epoch 1080 Train: Loss=-1.1e+04, RMSE=0.12, test loss=-2.2e+03, J=50.40, R=152.08, bufsize=10000
Epoch 1095 Train: Loss=-1.1e+04, RMSE=0.11, test loss=-2.2e+03, J=50.49, R=152.31, bufsize=10000
Epoch 1110 Train: Loss=-1.2e+04, RMSE=0.11, test loss=-2.2e+03, J=50.46, R=152.28, bufsize=10000
Epoch 1125 Train: Loss=-1.2e+04, RMSE=0.11, test loss=-2.3e+03, J=50.41, R=152.09, bufsize=10000
Epoch 1140 Train: Loss=-1.2e+04, RMSE=0.11, test loss=-2.3e+03, J=50.38, R=151.97, bufsize=10000
Epoch 1155 Train: Loss=-1.2e+04, RMSE=0.10, test loss=-2.3e+03, J=50.43, R=152.16, bufsize=10000
Epoch 1170 Train: Loss=-1.2e+04, RMSE=0.10, test loss=-2.4e+03, J=50.46, R=152.27, bufsize=10000
Epoch 1185 Train: Loss=-1.2e+04, RMSE=0.09, test loss=-2.4e+03, J=50.44, R=152.19, bufsize=10000
Epoch 1200 Train: Loss=-1.3e+04, RMSE=0.09, test loss=-2.4e+03, J=50.42, R=152.12, bufsize=10000
Epoch 1215 Train: Loss=-1.3e+04, RMSE=0.09, test loss=-2.4e+03, J=50.43, R=152.18, bufsize=10000
Epoch 1230 Train: Loss=-1.3e+04, RMSE=0.09, test loss=-2.5e+03, J=50.49, R=152.35, bufsize=10000
Epoch 1245 Train: Loss=-1.3e+04, RMSE=0.08, test loss=-2.5e+03, J=50.44, R=152.18, bufsize=10000
Epoch 1260 Train: Loss=-1.3e+04, RMSE=0.08, test loss=-2.5e+03, J=50.44, R=152.20, bufsize=10000
Epoch 1275 Train: Loss=-1.3e+04, RMSE=0.08, test loss=-2.5e+03, J=50.39, R=152.03, bufsize=10000
Epoch 1290 Train: Loss=-1.3e+04, RMSE=0.07, test loss=-2.5e+03, J=50.43, R=152.14, bufsize=10000
Epoch 1305 Train: Loss=-1.4e+04, RMSE=0.07, test loss=-2.5e+03, J=50.44, R=152.17, bufsize=10000
Epoch 1320 Train: Loss=-1.4e+04, RMSE=0.07, test loss=-2.5e+03, J=50.42, R=152.11, bufsize=10000
Epoch 1335 Train: Loss=-1.4e+04, RMSE=0.07, test loss=-2.6e+03, J=50.45, R=152.20, bufsize=10000
Epoch 1350 Train: Loss=-1.4e+04, RMSE=0.07, test loss=-2.6e+03, J=50.49, R=152.38, bufsize=10000
Epoch 1365 Train: Loss=-1.4e+04, RMSE=0.07, test loss=-2.6e+03, J=50.46, R=152.22, bufsize=10000
Epoch 1380 Train: Loss=-1.4e+04, RMSE=0.06, test loss=-2.6e+03, J=50.46, R=152.28, bufsize=10000
Epoch 1395 Train: Loss=-1.4e+04, RMSE=0.06, test loss=-2.6e+03, J=50.48, R=152.34, bufsize=10000
Epoch 1410 Train: Loss=-1.4e+04, RMSE=0.06, test loss=-2.6e+03, J=50.50, R=152.30, bufsize=10000
Epoch 1425 Train: Loss=-1.4e+04, RMSE=0.06, test loss=-2.6e+03, J=50.42, R=152.12, bufsize=10000
Epoch 1440 Train: Loss=-1.4e+04, RMSE=0.06, test loss=-2.6e+03, J=50.46, R=152.27, bufsize=10000
Epoch 1455 Train: Loss=-1.4e+04, RMSE=0.06, test loss=-2.6e+03, J=50.43, R=152.15, bufsize=10000
Epoch 1470 Train: Loss=-1.4e+04, RMSE=0.06, test loss=-2.6e+03, J=50.43, R=152.12, bufsize=10000
Epoch 1485 Train: Loss=-1.4e+04, RMSE=0.06, test loss=-2.6e+03, J=50.47, R=152.26, bufsize=10000
Epoch 1500 Train: Loss=-1.4e+04, RMSE=0.06, test loss=-2.6e+03, J=50.46, R=152.20, bufsize=10000
