Epoch 870 Train: Loss=0.28, RMSE=0.53, test loss=0.084, J=43.54, R=126.39, bufsize=10000
Epoch 885 Train: Loss=0.24, RMSE=0.50, test loss=0.082, J=42.39, R=127.71, bufsize=10000
Epoch 900 Train: Loss=0.21, RMSE=0.46, test loss=0.068, J=50.56, R=152.47, bufsize=10000
Epoch 915 Train: Loss=0.24, RMSE=0.47, test loss=0.063, J=50.50, R=152.30, bufsize=10000
Epoch 930 Train: Loss=0.21, RMSE=0.45, test loss=0.059, J=50.51, R=152.45, bufsize=10000
Epoch 945 Train: Loss=0.18, RMSE=0.43, test loss=0.06, J=50.51, R=152.45, bufsize=10000
Epoch 960 Train: Loss=0.16, RMSE=0.40, test loss=0.055, J=50.50, R=152.36, bufsize=10000
Epoch 975 Train: Loss=0.15, RMSE=0.39, test loss=0.052, J=42.04, R=127.54, bufsize=10000
Epoch 990 Train: Loss=0.14, RMSE=0.37, test loss=0.05, J=41.98, R=128.05, bufsize=10000
Epoch 1005 Train: Loss=0.15, RMSE=0.39, test loss=0.062, J=50.53, R=152.42, bufsize=10000
Epoch 1020 Train: Loss=0.12, RMSE=0.34, test loss=0.05, J=50.47, R=152.31, bufsize=10000
Epoch 1035 Train: Loss=0.12, RMSE=0.35, test loss=0.048, J=50.45, R=152.24, bufsize=10000
Epoch 1050 Train: Loss=0.12, RMSE=0.34, test loss=0.049, J=50.52, R=152.45, bufsize=10000
Epoch 1065 Train: Loss=0.097, RMSE=0.31, test loss=0.041, J=50.51, R=152.38, bufsize=10000
Epoch 1080 Train: Loss=0.09, RMSE=0.30, test loss=0.048, J=50.53, R=152.42, bufsize=10000
Epoch 1095 Train: Loss=0.083, RMSE=0.29, test loss=0.034, J=50.44, R=152.20, bufsize=10000
Epoch 1110 Train: Loss=0.081, RMSE=0.28, test loss=0.033, J=50.46, R=152.30, bufsize=10000
Epoch 1125 Train: Loss=0.072, RMSE=0.27, test loss=0.034, J=50.55, R=152.43, bufsize=10000
Epoch 1140 Train: Loss=0.086, RMSE=0.30, test loss=0.043, J=50.51, R=152.35, bufsize=10000
Epoch 1155 Train: Loss=0.079, RMSE=0.28, test loss=0.032, J=50.52, R=152.40, bufsize=10000
Epoch 1170 Train: Loss=0.07, RMSE=0.27, test loss=0.033, J=50.54, R=152.49, bufsize=10000
Epoch 1185 Train: Loss=0.064, RMSE=0.26, test loss=0.027, J=50.53, R=152.39, bufsize=10000
Epoch 1200 Train: Loss=0.066, RMSE=0.26, test loss=0.026, J=44.04, R=122.79, bufsize=10000
Epoch 1215 Train: Loss=0.08, RMSE=0.29, test loss=0.026, J=50.57, R=152.55, bufsize=10000
Epoch 1230 Train: Loss=0.063, RMSE=0.25, test loss=0.024, J=50.37, R=152.13, bufsize=10000
Epoch 1245 Train: Loss=0.069, RMSE=0.26, test loss=0.026, J=50.54, R=152.47, bufsize=10000
Epoch 1260 Train: Loss=0.075, RMSE=0.30, test loss=0.053, J=50.56, R=152.56, bufsize=10000
Epoch 1275 Train: Loss=0.057, RMSE=0.24, test loss=0.024, J=50.55, R=152.43, bufsize=10000
Epoch 1290 Train: Loss=0.059, RMSE=0.23, test loss=0.029, J=50.54, R=152.42, bufsize=10000
Epoch 1305 Train: Loss=0.048, RMSE=0.21, test loss=0.023, J=50.44, R=152.23, bufsize=10000
Epoch 1320 Train: Loss=0.046, RMSE=0.21, test loss=0.022, J=50.49, R=152.24, bufsize=10000
Epoch 1335 Train: Loss=0.044, RMSE=0.21, test loss=0.023, J=50.50, R=152.39, bufsize=10000
Epoch 1350 Train: Loss=0.046, RMSE=0.23, test loss=0.026, J=50.39, R=152.18, bufsize=10000
Epoch 1365 Train: Loss=0.045, RMSE=0.21, test loss=0.02, J=50.40, R=152.10, bufsize=10000
Epoch 1380 Train: Loss=0.042, RMSE=0.21, test loss=0.02, J=50.40, R=152.16, bufsize=10000
Epoch 1395 Train: Loss=0.036, RMSE=0.19, test loss=0.021, J=50.38, R=152.18, bufsize=10000
Epoch 1410 Train: Loss=0.034, RMSE=0.18, test loss=0.019, J=50.46, R=152.32, bufsize=10000
Epoch 1425 Train: Loss=0.037, RMSE=0.19, test loss=0.022, J=50.29, R=151.76, bufsize=10000
Epoch 1440 Train: Loss=0.031, RMSE=0.19, test loss=0.025, J=50.32, R=151.91, bufsize=10000
Epoch 1455 Train: Loss=0.032, RMSE=0.18, test loss=0.019, J=42.28, R=127.04, bufsize=10000
Epoch 1470 Train: Loss=0.031, RMSE=0.18, test loss=0.02, J=50.44, R=152.11, bufsize=10000
Epoch 1485 Train: Loss=0.03, RMSE=0.17, test loss=0.017, J=50.45, R=152.20, bufsize=10000
Epoch 1500 Train: Loss=0.025, RMSE=0.16, test loss=0.016, J=50.42, R=152.13, bufsize=10000
