Epoch 2600 Train: Loss=1e+04, RMSE=0.15, test loss=1.3e+03, J=50.44, R=152.21, bufsize=10000
Epoch 2650 Train: Loss=9.4e+03, RMSE=0.14, test loss=1.1e+03, J=50.49, R=152.34, bufsize=10000
Epoch 2700 Train: Loss=9.1e+03, RMSE=0.13, test loss=1.1e+03, J=50.50, R=152.37, bufsize=10000
Epoch 2750 Train: Loss=9e+03, RMSE=0.12, test loss=1e+03, J=50.50, R=152.34, bufsize=10000
Epoch 2800 Train: Loss=8.2e+03, RMSE=0.12, test loss=9e+02, J=50.53, R=152.43, bufsize=10000
Epoch 2850 Train: Loss=7.5e+03, RMSE=0.11, test loss=8.2e+02, J=50.52, R=152.34, bufsize=10000
Epoch 2900 Train: Loss=7.3e+03, RMSE=0.11, test loss=7.4e+02, J=50.43, R=152.15, bufsize=10000
Epoch 2950 Train: Loss=6.9e+03, RMSE=0.10, test loss=6.8e+02, J=50.49, R=152.34, bufsize=10000
Epoch 3000 Train: Loss=2.8e+03, RMSE=0.08, test loss=5.9e+02, J=50.48, R=152.30, bufsize=10000
Epoch 3050 Train: Loss=1.9e+03, RMSE=0.08, test loss=4.2e+02, J=50.43, R=152.15, bufsize=10000
Epoch 3100 Train: Loss=1.2e+03, RMSE=0.08, test loss=3.4e+02, J=50.43, R=152.27, bufsize=10000
Epoch 3150 Train: Loss=1.2e+03, RMSE=0.08, test loss=2.8e+02, J=50.45, R=152.19, bufsize=10000
Epoch 3200 Train: Loss=1.5e+03, RMSE=0.09, test loss=1.9e+02, J=50.45, R=152.31, bufsize=10000
Epoch 3250 Train: Loss=7.5e+02, RMSE=0.08, test loss=1.3e+02, J=50.48, R=152.28, bufsize=10000
Epoch 3300 Train: Loss=3.1e+02, RMSE=0.08, test loss=7.3e+01, J=50.51, R=152.34, bufsize=10000
Epoch 3350 Train: Loss=1.3e+02, RMSE=0.08, test loss=3.6e+01, J=50.41, R=152.11, bufsize=10000
Epoch 3400 Train: Loss=-3.6e+02, RMSE=0.07, test loss=-3.9, J=50.43, R=152.16, bufsize=10000
Epoch 3450 Train: Loss=-6.5e+02, RMSE=0.07, test loss=-5.9e+01, J=50.47, R=152.26, bufsize=10000
Epoch 3500 Train: Loss=-1e+03, RMSE=0.07, test loss=-1.1e+02, J=50.44, R=152.17, bufsize=10000
Epoch 3550 Train: Loss=-1.3e+03, RMSE=0.07, test loss=-1.5e+02, J=50.44, R=152.21, bufsize=10000
Epoch 3600 Train: Loss=-1.4e+03, RMSE=0.07, test loss=-1.8e+02, J=50.47, R=152.26, bufsize=10000
Epoch 3650 Train: Loss=-2e+03, RMSE=0.06, test loss=-2.3e+02, J=50.45, R=152.21, bufsize=10000
Epoch 3700 Train: Loss=-2.7e+03, RMSE=0.05, test loss=-2.7e+02, J=50.46, R=152.26, bufsize=10000
Epoch 3750 Train: Loss=-3.2e+03, RMSE=0.05, test loss=-3.2e+02, J=50.45, R=152.27, bufsize=10000
Epoch 3800 Train: Loss=-3.1e+03, RMSE=0.05, test loss=-3.3e+02, J=50.44, R=152.20, bufsize=10000
Epoch 3850 Train: Loss=-3.4e+03, RMSE=0.05, test loss=-3.6e+02, J=50.44, R=152.28, bufsize=10000
Epoch 3900 Train: Loss=-3.4e+03, RMSE=0.05, test loss=-3.8e+02, J=50.41, R=152.12, bufsize=10000
Epoch 3950 Train: Loss=-3.2e+03, RMSE=0.06, test loss=-4e+02, J=50.44, R=152.19, bufsize=10000
Epoch 4000 Train: Loss=-3.4e+03, RMSE=0.05, test loss=-4.2e+02, J=50.45, R=152.29, bufsize=10000
Epoch 4050 Train: Loss=-3e+03, RMSE=0.07, test loss=-4e+02, J=50.48, R=152.28, bufsize=10000
Epoch 4100 Train: Loss=-3.2e+03, RMSE=0.06, test loss=-4.4e+02, J=50.47, R=152.24, bufsize=10000
Epoch 4150 Train: Loss=-3.4e+03, RMSE=0.06, test loss=-4.7e+02, J=50.46, R=152.21, bufsize=10000
Epoch 4200 Train: Loss=-3.5e+03, RMSE=0.06, test loss=-4.8e+02, J=50.47, R=152.24, bufsize=10000
Epoch 4250 Train: Loss=-3.7e+03, RMSE=0.06, test loss=-5.1e+02, J=50.45, R=152.20, bufsize=10000
Epoch 4300 Train: Loss=-3.9e+03, RMSE=0.06, test loss=-5.3e+02, J=50.45, R=152.18, bufsize=10000
Epoch 4350 Train: Loss=-4e+03, RMSE=0.06, test loss=-5.6e+02, J=50.42, R=152.14, bufsize=10000
Epoch 4400 Train: Loss=-4.2e+03, RMSE=0.05, test loss=-6e+02, J=50.48, R=152.28, bufsize=10000
Epoch 4450 Train: Loss=-4.5e+03, RMSE=0.05, test loss=-6.2e+02, J=50.46, R=152.23, bufsize=10000
Epoch 4500 Train: Loss=-4.6e+03, RMSE=0.05, test loss=-6.4e+02, J=50.46, R=152.21, bufsize=10000
Epoch 4550 Train: Loss=-5e+03, RMSE=0.05, test loss=-6.7e+02, J=50.47, R=152.25, bufsize=10000
Epoch 4600 Train: Loss=-5.1e+03, RMSE=0.04, test loss=-7e+02, J=50.45, R=152.23, bufsize=10000
Epoch 4650 Train: Loss=-5.2e+03, RMSE=0.04, test loss=-7.2e+02, J=50.48, R=152.26, bufsize=10000
Epoch 4700 Train: Loss=-5.3e+03, RMSE=0.04, test loss=-7.2e+02, J=50.46, R=152.23, bufsize=10000
Epoch 4750 Train: Loss=-5.3e+03, RMSE=0.05, test loss=-7.2e+02, J=50.40, R=152.06, bufsize=10000
Epoch 4800 Train: Loss=-5.5e+03, RMSE=0.04, test loss=-7.7e+02, J=50.45, R=152.22, bufsize=10000
Epoch 4850 Train: Loss=-5.8e+03, RMSE=0.04, test loss=-7.9e+02, J=50.45, R=152.22, bufsize=10000
Epoch 4900 Train: Loss=-5.6e+03, RMSE=0.06, test loss=-7.6e+02, J=50.45, R=152.15, bufsize=10000
Epoch 4950 Train: Loss=-5.9e+03, RMSE=0.04, test loss=-8.1e+02, J=50.45, R=152.20, bufsize=10000
Epoch 5000 Train: Loss=-5.8e+03, RMSE=0.05, test loss=-8e+02, J=50.48, R=152.28, bufsize=10000
